xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 0015,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.6854,0.0187,0.01041,0.0201,1,0.413,-1.8338,0,0.2717
-4.75,-0.6672,0.01847,0.01023,0.0218,1,0.4366,-1.7584,0,0.2752
-4.5,-0.6482,0.01822,0.01015,0.0233,1,0.4596,-1.6828,0,0.2787
-4.25,-0.6288,0.01801,0.01007,0.0247,1,0.4828,-1.6078,0,0.2823
-4,-0.6092,0.01784,0.00998,0.026,1,0.5066,-1.5337,0,0.286
-3.75,-0.5897,0.01773,0.00993,0.0273,1,0.5313,-1.4667,0,0.2899
-3.5,-0.5702,0.01767,0.00992,0.0286,1,0.5559,-1.4005,0,0.2939
-3.25,-0.5505,0.01761,0.01004,0.0299,1,0.5794,-1.3341,0,0.2983
-3,-0.531,0.01759,0.01015,0.0312,1,0.6031,-1.2736,0,0.303
-2.75,-0.5117,0.01761,0.01026,0.0324,1,0.6274,-1.2153,0,0.3078
-2.5,-0.4801,0.01773,0.01049,0.0313,0.9956,0.6551,-1.1429,0,0.3099
-2.25,-0.4324,0.01797,0.01084,0.0275,0.9859,0.6852,-1.0569,0,0.3084
-2,-0.3879,0.01815,0.01112,0.0244,0.9741,0.714,-0.9802,0,0.3078
-1.75,-0.3426,0.01837,0.01141,0.0213,0.9632,0.7419,-0.9071,0,0.3072
-1.5,-0.3006,0.01851,0.01161,0.019,0.9502,0.7688,-0.8433,0,0.3083
-1.25,-0.2543,0.01876,0.01195,0.0163,0.9395,0.7923,-0.7798,0,0.3094
-1,-0.2133,0.01895,0.0122,0.0148,0.9258,0.8133,-0.7249,0,0.3146
-0.75,-0.1547,0.01913,0.01239,0.0099,0.918,0.8343,-0.6604,0,0.3095
-0.5,-0.1165,0.01931,0.0126,0.0089,0.9028,0.8539,-0.6168,0,0.3222
-0.25,-0.0536,0.01943,0.01273,0.0037,0.8936,0.8671,-0.5581,0,0.314
0,0,0.01948,0.01277,0,0.8821,0.8821,-0.5094,0,0.4506
0.25,0.0536,0.01943,0.01273,-0.0037,0.8671,0.8936,-0.5581,0,0.314
0.5,0.1165,0.01931,0.01259,-0.0089,0.8539,0.9028,-0.6167,0,0.3222
0.75,0.1547,0.01913,0.01239,-0.0099,0.8343,0.918,-0.6604,0,0.3095
1,0.2133,0.01895,0.0122,-0.0148,0.8133,0.9258,-0.7249,0,0.3146
1.25,0.2542,0.01876,0.01195,-0.0163,0.7923,0.9395,-0.7797,0,0.3093
1.5,0.3006,0.0185,0.01161,-0.019,0.7688,0.9502,-0.8433,0,0.3083
1.75,0.3425,0.01836,0.0114,-0.0213,0.7419,0.9633,-0.907,0,0.3071
2,0.3879,0.01815,0.01112,-0.0244,0.714,0.9742,-0.9801,0,0.3078
2.25,0.4324,0.01797,0.01084,-0.0275,0.6852,0.986,-1.0569,0,0.3083
2.5,0.48,0.01772,0.01048,-0.0313,0.6551,0.9956,-1.1429,0,0.3099
2.75,0.5115,0.0176,0.01026,-0.0324,0.6275,1,-1.215,0,0.3078
3,0.5308,0.01758,0.01014,-0.0312,0.6032,1,-1.2733,0,0.3029
3.25,0.5502,0.0176,0.01003,-0.0299,0.5795,1,-1.3337,0,0.2983
3.5,0.57,0.01766,0.00992,-0.0286,0.556,1,-1.4001,0,0.2939
3.75,0.5894,0.01772,0.00992,-0.0273,0.5314,1,-1.4663,0,0.2898
4,0.6089,0.01784,0.00997,-0.026,0.5067,1,-1.5333,0,0.286
4.25,0.6285,0.01801,0.01006,-0.0247,0.4829,1,-1.6074,0,0.2823
4.5,0.6479,0.01821,0.01014,-0.0233,0.4597,1,-1.6824,0,0.2787
4.75,0.667,0.01846,0.01022,-0.0217,0.4367,1,-1.758,0,0.2752
5,0.6852,0.0187,0.0104,-0.0201,0.4131,1,-1.8334,0,0.2717
5.25,0.703,0.01899,0.01065,-0.0184,0.3895,1,-1.9141,0,0.2683
5.5,0.7207,0.01936,0.01095,-0.0167,0.3669,1,-1.9953,0,0.265
5.75,0.7381,0.01979,0.01123,-0.0149,0.3454,1,-2.0771,0,0.2617
6,0.755,0.02024,0.01152,-0.013,0.3238,1,-2.159,0,0.2585
6.25,0.771,0.02064,0.01195,-0.011,0.3027,1,-2.2384,0,0.2553
