xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 0019,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.7818,0.02335,0.01497,0.0332,0.9923,0.4303,-1.8283,0,0.282
-4.75,-0.7355,0.02341,0.01522,0.0293,0.9843,0.4488,-1.7308,0,0.2796
-4.5,-0.6955,0.02326,0.01508,0.0265,0.9736,0.4674,-1.6498,0,0.2779
-4.25,-0.6469,0.02339,0.01531,0.0223,0.9655,0.4872,-1.5578,0,0.2744
-4,-0.6125,0.02321,0.01521,0.0208,0.9541,0.504,-1.4891,0,0.274
-3.75,-0.5695,0.02319,0.01522,0.0178,0.9435,0.5235,-1.4116,0,0.2715
-3.5,-0.5165,0.02315,0.01531,0.0131,0.937,0.5426,-1.3277,0,0.2656
-3.25,-0.4948,0.02301,0.01517,0.0142,0.9215,0.5595,-1.2798,0,0.2691
-3,-0.4465,0.02286,0.01516,0.0107,0.913,0.5775,-1.2069,0,0.2644
-2.75,-0.4046,0.02277,0.01503,0.0081,0.9039,0.5976,-1.1439,0,0.2606
-2.5,-0.3738,0.02265,0.0151,0.0081,0.8901,0.6127,-1.0937,0,0.2623
-2.25,-0.3271,0.02242,0.01482,0.0049,0.8819,0.6334,-1.0317,0,0.2556
-2,-0.2696,0.0222,0.0148,0.0006,0.8768,0.6507,-0.9634,0,0.2424
-1.75,-0.2561,0.02213,0.01469,0.0033,0.8589,0.6679,-0.9345,0,0.2537
-1.5,-0.2081,0.02192,0.01464,0.0009,0.8505,0.6832,-0.8792,0,0.2449
-1.25,-0.1641,0.02153,0.0142,-0.0011,0.8435,0.703,-0.8297,0,0.2334
-1,-0.1403,0.02166,0.01448,0.0005,0.8262,0.7158,-0.7968,0,0.2444
-0.75,-0.1028,0.0214,0.01422,-0.0001,0.8157,0.7333,-0.7552,0,0.2395
-0.5,-0.0593,0.02121,0.01406,-0.0015,0.8065,0.7473,-0.7119,0,0.2145
-0.25,-0.0353,0.02138,0.01428,0.0001,0.7887,0.7619,-0.6825,0,0.2443
0,0,0.02107,0.01392,0,0.7776,0.7776,-0.6475,0,0.4465
0.25,0.0353,0.02138,0.01428,-0.0001,0.7619,0.7887,-0.6825,0,0.2443
0.5,0.0593,0.02121,0.01406,0.0015,0.7473,0.8065,-0.7119,0,0.2144
0.75,0.1028,0.0214,0.01422,0.0001,0.7333,0.8157,-0.7552,0,0.2395
1,0.1403,0.02166,0.01448,-0.0005,0.7158,0.8262,-0.7968,0,0.2444
1.25,0.1641,0.02153,0.0142,0.0011,0.703,0.8435,-0.8297,0,0.2334
1.5,0.2081,0.02192,0.01464,-0.0009,0.6832,0.8505,-0.8792,0,0.2448
1.75,0.256,0.02213,0.01469,-0.0033,0.6679,0.8589,-0.9344,0,0.2537
2,0.2695,0.0222,0.01479,-0.0006,0.6507,0.8769,-0.9634,0,0.2423
2.5,0.3737,0.02265,0.0151,-0.0081,0.6127,0.8902,-1.0936,0,0.2623
2.75,0.4041,0.02277,0.01503,-0.0081,0.5977,0.9041,-1.1434,0,0.2604
3,0.4465,0.02286,0.01516,-0.0107,0.5775,0.913,-1.2069,0,0.2644
3.25,0.4947,0.02301,0.01517,-0.0142,0.5595,0.9215,-1.2797,0,0.2691
3.5,0.5163,0.02315,0.01531,-0.0131,0.5427,0.9371,-1.3275,0,0.2655
3.75,0.5695,0.02318,0.01521,-0.0178,0.5236,0.9436,-1.4115,0,0.2715
4,0.6123,0.0232,0.0152,-0.0208,0.504,0.9542,-1.4889,0,0.274
4.25,0.6469,0.02338,0.0153,-0.0223,0.4872,0.9656,-1.5578,0,0.2744
4.5,0.6954,0.02325,0.01507,-0.0265,0.4674,0.9737,-1.6497,0,0.2779
4.75,0.7354,0.0234,0.01521,-0.0293,0.4489,0.9845,-1.7306,0,0.2795
5,0.7819,0.02334,0.01496,-0.0332,0.4303,0.9924,-1.8283,0,0.282
5.25,0.823,0.02336,0.01505,-0.0365,0.4112,1,-1.9181,0,0.2837
5.5,0.8401,0.02351,0.01502,-0.0351,0.3984,1,-1.9776,0,0.2808
5.75,0.8547,0.02376,0.01533,-0.0334,0.3849,1,-2.0352,0,0.2778
6,0.8701,0.02388,0.01541,-0.0316,0.3718,1,-2.0968,0,0.2748
6.25,0.8864,0.02427,0.01568,-0.0301,0.3596,1,-2.1595,0,0.2721
6.5,0.8996,0.02449,0.01597,-0.0279,0.3468,1,-2.217,0,0.2689
6.75,0.9158,0.02478,0.01607,-0.0262,0.335,1,-2.2835,0,0.2661
7,0.9282,0.02523,0.0166,-0.0239,0.3234,1,-2.3438,0,0.263
7.25,0.941,0.02551,0.01686,-0.0216,0.3119,1,-2.4075,0,0.2598
7.5,0.9575,0.02611,0.01726,-0.0199,0.3008,1,-2.4782,0,0.2574
7.75,0.9655,0.0265,0.01782,-0.0168,0.2907,1,-2.5318,0,0.2536
8,0.9774,0.02686,0.01813,-0.0142,0.2806,1,-2.5952,0,0.2504
8.25,0.9926,0.02762,0.01871,-0.0123,0.2706,1,-2.6659,0,0.248
8.5,0.9985,0.0281,0.01936,-0.0088,0.2617,1,-2.7207,0,0.244
8.75,1.009,0.02853,0.01974,-0.0059,0.2527,1,-2.7872,0,0.2408
9,1.0258,0.02944,0.02046,-0.0043,0.2435,1,-2.865,0,0.2388
9.25,1.0283,0.03002,0.02123,-0.0002,0.2363,1,-2.9128,0,0.2344
9.5,1.0361,0.03055,0.02179,0.003,0.2284,1,-2.9736,0,0.2309
9.75,1.0501,0.03117,0.02225,0.0051,0.2209,1,-3.0489,0,0.2286
10,1.0584,0.03227,0.02339,0.008,0.214,1,-3.1074,0,0.2255
10.25,1.061,0.033,0.02425,0.0119,0.2075,1,-3.16,0,0.2215
10.5,1.0699,0.03361,0.02484,0.0148,0.201,1,-3.2295,0,0.2185
10.75,1.091,0.03472,0.02573,0.0155,0.1937,1,-3.3253,0,0.2177
11,1.0901,0.0358,0.027,0.0197,0.1891,1,-3.3669,0,0.2135
11.25,1.0893,0.03677,0.02812,0.0237,0.1841,1,-3.4103,0,0.2093
11.5,1.0952,0.0376,0.02898,0.0267,0.1788,1,-3.4714,0,0.2063
11.75,1.113,0.03838,0.0296,0.0279,0.1733,1,-3.5631,0,0.2052
12,1.1212,0.04017,0.03143,0.03,0.1684,1,-3.6222,0,0.2031
12.25,1.1114,0.04144,0.03291,0.0348,0.1653,1,-3.6418,0,0.1981
12.5,1.1046,0.04294,0.03458,0.0385,0.1618,1,-3.6694,0,0.194
